market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
1,2/6/15 22:24,2/6/15 23:27,1845,american,1,4,3441,4,557,1239,33,14,21,446,861
2,2/10/15 21:49,2/10/15 22:56,5477,mexican,2,1,1900,1,1400,1400,1,2,2,446,690
3,1/22/15 20:39,1/22/15 21:09,5477,NA,1,1,1900,1,1900,1900,1,0,0,446,690
3,2/3/15 21:21,2/3/15 22:13,5477,NA,1,6,6900,5,600,1800,1,1,2,446,289
3,2/15/15 2:40,2/15/15 3:20,5477,NA,1,3,3900,3,1100,1600,6,6,9,446,650
3,1/28/15 20:30,1/28/15 21:08,5477,NA,1,3,5000,3,1500,1900,2,2,2,446,338
3,1/31/15 2:16,1/31/15 2:43,5477,NA,1,2,3900,2,1200,2700,10,9,9,446,638
3,2/12/15 3:03,2/12/15 3:36,5477,NA,1,4,4850,4,750,1800,7,8,7,446,626
2,2/16/15 0:11,2/16/15 0:38,5477,indian,3,4,4771,3,820,1604,8,6,18,446,289
3,2/18/15 1:15,2/18/15 2:08,5477,NA,1,2,2100,2,700,1200,2,2,2,446,715
3,2/2/15 19:22,2/2/15 20:09,5477,NA,4,4,4300,4,1200,1500,1,1,1,446,453
3,2/16/15 4:19,2/16/15 6:34,5477,NA,1,2,2200,2,600,1600,3,3,4,446,642
3,2/7/15 1:34,2/7/15 2:17,5477,NA,1,1,1900,1,1900,1900,6,3,3,446,690
3,1/25/15 1:50,1/25/15 2:28,5477,NA,4,4,4986,4,699,2362,16,6,9,446,445
1,2/12/15 3:36,2/12/15 4:14,2841,italian,1,1,1525,1,1525,1525,5,6,8,446,795
1,1/27/15 2:12,1/27/15 3:02,2841,italian,1,2,3620,2,1425,2195,5,5,7,446,205
1,2/6/15 0:42,2/6/15 2:10,2841,italian,1,3,4475,3,925,1825,4,1,1,446,542
1,2/8/15 2:04,2/8/15 3:27,2841,italian,1,3,4375,3,1325,1625,6,4,3,446,789
1,1/31/15 4:35,1/31/15 5:47,2841,italian,1,2,3150,2,1425,1725,4,9,12,446,548
1,1/31/15 2:21,1/31/15 3:11,4139,mexican,1,2,950,2,150,700,24,24,26,446,212
1,1/31/15 23:45,2/1/15 0:14,4139,mexican,1,5,1285,3,150,400,12,13,11,446,424
1,2/17/15 3:13,2/17/15 4:00,5058,italian,1,4,5800,4,700,2000,19,19,30,446,344
1,2/15/15 1:26,2/15/15 2:16,5058,italian,1,2,2800,2,1200,1600,21,17,16,446,421
1,2/2/15 5:27,2/2/15 7:05,5058,italian,1,7,14900,5,1200,3900,8,11,11,446,901
1,2/16/15 2:21,2/16/15 3:54,5058,italian,1,3,3400,3,1400,2100,22,21,39,446,501
1,2/13/15 1:01,2/13/15 1:40,5058,italian,1,3,3800,3,700,1600,16,9,7,446,344
1,1/24/15 2:01,1/24/15 2:46,5058,italian,1,1,1800,1,1800,1800,27,25,24,446,424
1,2/10/15 4:36,2/10/15 5:20,5058,italian,1,4,5800,4,700,2000,13,16,27,446,344
1,1/26/15 2:09,1/26/15 2:47,5058,italian,1,3,3800,3,800,1800,21,18,20,446,530
1,2/7/15 1:44,2/7/15 2:48,5058,italian,1,1,1800,1,1800,1800,22,21,20,446,434
1,1/30/15 1:43,1/30/15 2:20,5058,italian,1,2,2700,2,1200,1500,16,16,13,446,456
3,1/30/15 19:49,1/30/15 20:28,4149,sandwich,2,4,3490,3,175,850,16,16,21,251,298
1,1/28/15 20:33,1/28/15 21:04,4149,NA,NA,3,1765,3,275,895,22,21,24,251,490
1,2/12/15 20:27,2/12/15 21:18,4149,NA,2,1,975,1,975,975,24,25,30,251,487
1,1/28/15 21:37,1/28/15 22:11,4149,NA,2,3,1425,3,175,900,13,12,7,251,704
2,2/9/15 20:29,2/9/15 21:17,4149,thai,5,1,1220,1,825,825,21,21,20,251,835
1,1/21/15 20:35,1/21/15 21:01,4149,NA,2,2,1750,2,825,825,18,18,20,251,259
1,2/16/15 19:19,2/16/15 20:16,4149,NA,2,8,7870,6,825,895,12,11,9,251,98
1,1/27/15 20:26,1/27/15 21:03,4149,NA,2,2,1725,2,825,900,21,18,18,251,294
1,1/22/15 20:19,1/22/15 21:07,4149,NA,2,3,2015,3,395,1025,22,13,13,251,740
1,2/10/15 20:05,2/10/15 20:34,4149,NA,2,1,1220,1,825,825,21,21,20,251,835
1,1/27/15 18:32,1/27/15 19:02,3201,cafe,4,2,595,2,200,295,5,1,1,251,186
4,2/7/15 1:36,2/7/15 2:46,5054,italian,1,4,5500,4,700,1900,117,112,178,446,588
4,2/14/15 3:04,2/14/15 4:25,5054,italian,1,5,5400,3,600,2200,130,129,230,446,795
